# energy_eV muE
9.176953999999999724e+03 1.193086599999999997e+00
9.179708000000000538e+03 1.193872000000000044e+00
9.182479999999999563e+03 1.184420699999999993e+00
9.185272000000000844e+03 1.173593799999999909e+00
9.188083000000000538e+03 1.170428199999999919e+00
9.190913000000000466e+03 1.165743999999999891e+00
9.193762000000000626e+03 1.155948200000000092e+00
9.196629999999999200e+03 1.142895400000000006e+00
9.199516999999999825e+03 1.141318300000000008e+00
9.202422000000000480e+03 1.162283299999999908e+00
9.205347999999999956e+03 1.202634200000000098e+00
9.208290999999999258e+03 1.240469700000000008e+00
9.211254000000000815e+03 1.254964500000000038e+00
9.214236000000000786e+03 1.251179299999999994e+00
9.217236999999999171e+03 1.240240299999999962e+00
9.220256999999999607e+03 1.222171499999999966e+00
9.223296000000000276e+03 1.190774500000000069e+00
9.226353999999999360e+03 1.145513199999999898e+00
9.229432000000000698e+03 1.101768999999999998e+00
9.232527000000000044e+03 1.060079599999999900e+00
9.235643000000000029e+03 1.025981000000000032e+00
9.238775999999999840e+03 1.004950699999999975e+00
9.241930000000000291e+03 9.996639400000000286e-01
9.245102999999999156e+03 1.004893100000000095e+00
9.248292999999999665e+03 1.010575000000000001e+00
9.251504000000000815e+03 1.012401899999999966e+00
9.254731999999999971e+03 1.013940000000000063e+00
9.257980999999999767e+03 1.016163300000000103e+00
9.261247999999999593e+03 1.021155899999999894e+00
9.264534999999999854e+03 1.028554600000000097e+00
9.267840000000000146e+03 1.038442099999999924e+00
9.271164000000000669e+03 1.047378200000000037e+00
9.274507999999999811e+03 1.055027799999999960e+00
9.277870000000000800e+03 1.062269799999999931e+00
9.281252000000000407e+03 1.064853899999999909e+00
9.284652000000000044e+03 1.067642399999999991e+00
9.288070999999999913e+03 1.069998400000000016e+00
9.291510000000000218e+03 1.072877899999999940e+00
9.294968000000000757e+03 1.072880899999999915e+00
9.298443999999999505e+03 1.074121399999999893e+00
9.301939000000000306e+03 1.067022799999999938e+00
9.305453999999999724e+03 1.052322999999999897e+00
9.308987999999999374e+03 1.035293000000000019e+00
9.312540999999999258e+03 1.012965499999999963e+00
9.316111999999999171e+03 9.963259199999999760e-01
9.319702999999999520e+03 9.805555400000000033e-01
9.323313000000000102e+03 9.701855499999999521e-01
9.326941000000000713e+03 9.657914100000000168e-01
9.330588999999999942e+03 9.629457200000000050e-01
9.334255999999999403e+03 9.553310099999999805e-01
9.337941000000000713e+03 9.416841799999999818e-01
9.341646000000000640e+03 9.247803599999999680e-01
9.345370000000000800e+03 9.135900700000000318e-01
9.349112999999999374e+03 9.128443800000000108e-01
9.352875000000000000e+03 9.141881400000000379e-01
9.356655000000000655e+03 9.150845199999999569e-01
9.360456000000000131e+03 9.152549100000000326e-01
9.364273999999999432e+03 9.167840299999999720e-01
9.368111999999999171e+03 9.197112800000000199e-01
9.371969999999999345e+03 9.203960700000000106e-01
9.375845999999999549e+03 9.225506300000000381e-01
9.379739999999999782e+03 9.220425899999999952e-01
9.383654000000000451e+03 9.245479399999999570e-01
9.387587999999999738e+03 9.233499400000000357e-01
9.391540000000000873e+03 9.226423099999999655e-01
9.395511000000000422e+03 9.217739499999999531e-01
9.399501000000000204e+03 9.185051800000000322e-01
9.403510000000000218e+03 9.134563799999999567e-01
9.407538000000000466e+03 9.033094600000000085e-01
9.411584999999999127e+03 8.930571099999999873e-01
9.415650999999999840e+03 8.797393500000000310e-01
9.419736000000000786e+03 8.682699999999999863e-01
9.423841000000000349e+03 8.589292699999999670e-01
9.427963999999999942e+03 8.543934600000000490e-01
9.432105999999999767e+03 8.505286699999999867e-01
9.436268000000000029e+03 8.465928400000000131e-01
9.440448000000000320e+03 8.421184400000000236e-01
9.444647000000000844e+03 8.370950999999999809e-01
9.448865999999999985e+03 8.295008999999999855e-01
9.453103999999999360e+03 8.200180500000000539e-01
9.457359000000000378e+03 8.126412699999999711e-01
9.461635000000000218e+03 8.073249999999999593e-01
9.465930000000000291e+03 8.028689700000000151e-01
9.470243000000000393e+03 7.976579299999999595e-01
9.474575000000000728e+03 7.925364799999999876e-01
9.478926999999999680e+03 7.903601300000000496e-01
9.483298000000000684e+03 7.881936699999999574e-01
9.487688000000000102e+03 7.876046100000000383e-01
9.492095999999999549e+03 7.870326899999999792e-01
9.496522999999999229e+03 7.867164100000000326e-01
9.500969999999999345e+03 7.861017399999999933e-01
9.505435999999999694e+03 7.860962099999999619e-01
9.509920000000000073e+03 7.843919099999999700e-01
9.514424000000000888e+03 7.801044299999999598e-01
9.518945999999999913e+03 7.746232299999999960e-01
9.523487999999999374e+03 7.659909499999999483e-01
9.528049000000000888e+03 7.566506100000000012e-01
9.532629000000000815e+03 7.477960299999999449e-01
9.537227999999999156e+03 7.412434300000000365e-01
9.541845999999999549e+03 7.347721000000000391e-01
9.546481999999999971e+03 7.294623199999999974e-01
9.551138999999999214e+03 7.239229600000000042e-01
9.555813000000000102e+03 7.199730100000000244e-01
9.560506999999999607e+03 7.154460200000000158e-01
9.565219999999999345e+03 7.098988600000000204e-01
9.569951999999999316e+03 7.046204600000000040e-01
9.574702999999999520e+03 6.998820999999999515e-01
9.579472999999999956e+03 6.949580100000000149e-01
9.584262000000000626e+03 6.884995099999999812e-01
9.589069999999999709e+03 6.831051799999999785e-01
9.593896000000000640e+03 6.784598800000000152e-01
9.598743000000000393e+03 6.743452699999999966e-01
9.603608000000000175e+03 6.705424899999999910e-01
9.608492000000000189e+03 6.672321799999999525e-01
9.613396000000000640e+03 6.636559400000000553e-01
9.618316999999999098e+03 6.601809600000000389e-01
9.623259000000000015e+03 6.571936900000000525e-01
9.628218999999999141e+03 6.533560200000000373e-01
9.633198000000000320e+03 6.501430499999999446e-01
9.638195999999999913e+03 6.460387100000000160e-01
9.643213999999999942e+03 6.412361199999999650e-01
9.648250000000000000e+03 6.363598000000000310e-01
9.653306000000000495e+03 6.317285000000000261e-01
9.658379999999999200e+03 6.258280299999999796e-01
9.663472999999999956e+03 6.205772699999999586e-01
9.668584999999999127e+03 6.149052299999999693e-01
9.673717000000000553e+03 6.087905799999999701e-01
9.678867000000000189e+03 6.040216600000000158e-01
9.684037000000000262e+03 5.985652999999999668e-01
9.689225000000000364e+03 5.933593900000000421e-01
9.694433000000000902e+03 5.873985800000000035e-01
9.699658999999999651e+03 5.823537699999999928e-01
9.704904000000000451e+03 5.773634699999999897e-01
9.710168999999999869e+03 5.729524599999999968e-01
9.715452999999999520e+03 5.682817599999999691e-01
9.720755999999999403e+03 5.631123199999999995e-01
9.726076999999999316e+03 5.576863899999999763e-01
9.731417999999999665e+03 5.531844700000000392e-01
9.736777000000000044e+03 5.490202699999999769e-01
9.742156000000000859e+03 5.436664100000000444e-01
9.747554000000000087e+03 5.408248900000000026e-01
9.752970999999999549e+03 5.372051599999999594e-01
9.758406000000000859e+03 5.334287100000000281e-01
9.763861000000000786e+03 5.287505099999999514e-01
9.769334999999999127e+03 5.251027099999999725e-01
9.774826999999999316e+03 5.216627600000000031e-01
9.780338999999999942e+03 5.167648000000000241e-01
9.785870000000000800e+03 5.122506300000000401e-01
9.791420000000000073e+03 5.076843100000000275e-01
9.796987999999999374e+03 5.043101500000000126e-01
9.802576999999999316e+03 4.997574900000000264e-01
9.808183999999999287e+03 4.951523899999999978e-01
9.813809999999999491e+03 4.904856400000000005e-01
9.819453999999999724e+03 4.859135800000000116e-01
9.825118000000000393e+03 4.812474800000000053e-01
9.830801999999999680e+03 4.765426799999999963e-01
9.836504000000000815e+03 4.722398199999999768e-01
9.842225000000000364e+03 4.669842900000000241e-01
9.847965000000000146e+03 4.623075500000000115e-01
9.853724000000000160e+03 4.577518700000000051e-01
9.859502000000000407e+03 4.529737799999999925e-01
9.865299000000000888e+03 4.485264400000000262e-01
9.871114999999999782e+03 4.441555999999999838e-01
9.876950000000000728e+03 4.395920500000000120e-01
